Stock,Total,Commercial,Sector,Common Pool,Recreational,Herring Fishery,Scallop Fishery,State Water,Other,Year,Small Mesh,data_type
GB cod,NA,NA,NA,84,NA,NA,NA,27.7,171.4,2010,NA,Catch
GOM cod,NA,NA,NA,226,NA,NA,NA,190.3,57.8,2010,NA,Catch
GB Haddock,NA,NA,NA,92.2,NA,69.2,NA,1.6,131,2010,NA,Catch
GOM Haddock,784.6,774,370.5,7.1,396.3,0.5,NA,8.5,1.6,2010,NA,Catch
GB Yellowtail Flounder,809.7,757.6,739,18.6,NA,NA,17.6,0,34.4,2010,NA,Catch
SNE Yellowtail Flounder,314.7,171.9,152.5,19.4,NA,NA,113,6.7,23.1,2010,NA,Catch
CC/GOM Yellowtail Flounder,671.4,596.7,559.8,36.9,NA,NA,NA,33.2,41.6,2010,NA,Catch
Plaice,NA,NA,NA,32.8,NA,NA,NA,25.1,46.2,2010,NA,Catch
Witch Flounder,832.5,725.3,695.4,30,NA,NA,NA,23.5,83.7,2010,NA,Catch
GB Winter Flounder,NA,NA,NA,8.8,NA,NA,NA,0,140.1,2010,NA,Catch
GOM Winter Flounder,193.5,106.1,80.7,25.4,NA,NA,NA,64.2,23.2,2010,NA,Catch
SNE Winter Flounder,370.1,47.4,42.3,5.1,NA,NA,NA,181,141.8,2010,NA,Catch
Redfish,NA,NA,NA,7.9,NA,NA,NA,10.5,5.2,2010,NA,Catch
White Hake,NA,NA,NA,44.2,NA,NA,NA,25.3,59.6,2010,NA,Catch
Pollock,NA,NA,NA,151.2,NA,NA,NA,NA,871.1,2010,NA,Catch
Northern Windowpane,162.6,153.5,151.7,1.8,NA,NA,NA,0,9.1,2010,NA,Catch
Southern Windowpane,534.9,73.6,52.7,20.9,NA,NA,NA,31,430.3,2010,NA,Catch
Ocean Pout,102.4,65.2,56.5,8.7,NA,NA,NA,0,37.1,2010,NA,Catch
Halibut,36.2,27.8,25.6,2.2,NA,NA,NA,6.6,1.8,2010,NA,Catch
Wolffish,22.5,22.4,18.9,3.5,NA,NA,NA,0,0.1,2010,NA,Catch
GB cod,NA,NA,NA,61.5,NA,NA,NA,38.9,90.2,2011,NA,Catch
GOM cod,NA,NA,NA,93.4,NA,NA,NA,216.4,28.8,2011,NA,Catch
GB Haddock,NA,NA,NA,11.7,NA,101.8,NA,3.9,305.8,2011,NA,Catch
GOM Haddock,737.6,724.1,483.7,1.9,238.5,0.2,NA,4.9,8.4,2011,NA,Catch
GB Yellowtail Flounder,NA,990,988,2,NA,NA,83.9,0,43.2,2011,NA,Catch
SNE/MA Yellowtail Flounder,514.9,376.2,364,12.2,NA,NA,110.9,1.1,26.7,2011,NA,Catch
CC/GOM Yellowtail Flounder,853.1,806.5,795.1,11.4,NA,NA,NA,38.5,8.1,2011,NA,Catch
Plaice,NA,NA,NA,4.5,NA,NA,NA,12.1,12.6,2011,NA,Catch
Witch Flounder,NA,997.1,992.9,4.2,NA,NA,NA,22.5,166.4,2011,NA,Catch
GB Winter Flounder,NA,NA,NA,1.1,NA,NA,NA,0,59.4,2011,NA,Catch
GOM Winter Flounder,287.3,160.8,158.2,2.6,NA,NA,NA,113.3,13.2,2011,NA,Catch
SNE/MA Winter Flounder,298.7,93.9,86.9,7,NA,NA,NA,40,164.9,2011,NA,Catch
Redfish,NA,NA,NA,3.6,NA,NA,NA,3.6,10.2,2011,NA,Catch
White Hake,NA,NA,NA,14.1,NA,NA,NA,2.6,4.4,2011,NA,Catch
Pollock,NA,NA,NA,69.2,NA,NA,NA,694,757.6,2011,NA,Catch
Northern Windowpane,191.3,156.5,156.2,0.3,NA,NA,NA,0,34.8,2011,NA,Catch
Southern Windowpane,504.1,111.5,83,28.5,NA,NA,NA,16.6,376,2011,NA,Catch
Ocean Pout,90.2,60.7,56.3,4.4,NA,NA,NA,0,29.5,2011,NA,Catch
Halibut,52.1,42.6,41.4,1.2,NA,NA,NA,7.1,2.5,2011,NA,Catch
Wolffish,33,32.9,32.2,0.7,NA,NA,NA,0,0.1,2011,NA,Catch
GB cod,NA,NA,NA,28.656,NA,NA,NA,21.5,80.9,2012,NA,Catch
GOM cod,NA,NA,NA,29.9,NA,NA,NA,44.6,4.3,2012,NA,Catch
GB Haddock,NA,NA,NA,0.5,NA,288.6,NA,14.2,25.1,2012,NA,Catch
GOM Haddock,530,526.7,245.1,0.9,280.7,0.1,NA,1.7,1.6,2012,NA,Catch
GB Yellowtail Flounder,384.9,215.5,215.2,0.3,NA,NA,164,0,5.4,2012,NA,Catch
SNE/MA Yellowtail Flounder,593.5,463,425.6,37.4,NA,NA,54,12,64.6,2012,NA,Catch
CC/GOM Yellowtail Flounder,NA,957.6,954.3,3.2,NA,NA,NA,33.7,20.9,2012,NA,Catch
Plaice,NA,NA,NA,3.3,NA,NA,NA,15.3,22.8,2012,NA,Catch
Witch Flounder,NA,983.3,981,2.3,NA,NA,NA,28.2,162.5,2012,NA,Catch
GB Winter Flounder,NA,NA,NA,0.8,NA,NA,NA,0,125.9,2012,NA,Catch
GOM Winter Flounder,322.8,260,258,2,NA,NA,NA,60.2,2.6,2012,NA,Catch
SNE/MA Winter Flounder*,315.9,106,104.8,1.1,NA,NA,NA,58.9,151,2012,NA,Catch
Redfish,NA,NA,NA,5.6,NA,NA,NA,13.4,3.1,2012,NA,Catch
White Hake,NA,NA,NA,23.8,NA,NA,NA,2.8,12,2012,NA,Catch
Pollock,NA,NA,NA,67.8,NA,NA,NA,532.3,NA,2012,NA,Catch
Northern Windowpane,208.9,129.6,129.5,0.1,NA,NA,NA,2.3,77,2012,NA,Catch
Southern Windowpane,520.9,106.5,95.9,10.6,NA,NA,NA,34.4,380,2012,NA,Catch
Ocean Pout,53.2,39.1,35.4,3.6,NA,NA,NA,1.2,13,2012,NA,Catch
Halibut,75.7,60.7,57.4,3.3,NA,NA,NA,13.3,1.7,2012,NA,Catch
Wolffish,32.4,30.2,30,0.1,NA,NA,NA,1,1.2,2012,NA,Catch
GB Cod,NA,NA,NA,32.3,NA,NA,NA,9.2,34.2,2013,NA,Catch
GOM cod,NA,NA,732,8.8,639.3,NA,NA,35.8,2.9,2013,NA,Catch
GB Haddock,NA,NA,NA,0.4,NA,290,NA,6.1,56.5,2013,NA,Catch
GOM Haddock,405.7,402.9,169.2,2.2,231.5,0,NA,1.3,1.6,2013,NA,Catch
GB Yellowtail Flounder,93.3,55.8,55.8,0,NA,NA,37.5,0,0,2013,2.5,Catch
SNE/MA Yellowtail Flounder,466.1,373.3,281.9,91.4,NA,NA,48.6,14.5,29.8,2013,NA,Catch
CC/GOM Yellowtail Flounder,453.1,380.5,376.5,4.1,NA,NA,NA,42.8,29.7,2013,NA,Catch
Plaice,NA,NA,NA,3.6,NA,NA,NA,19.6,29.8,2013,NA,Catch
Witch Flounder,745.2,642.3,638.9,3.4,NA,NA,NA,27.1,75.8,2013,NA,Catch
GB Winter Flounder,NA,NA,NA,0,NA,NA,NA,0,41,2013,NA,Catch
GOM Winter Flounder,245.6,169.3,167.6,1.7,NA,NA,NA,67.4,8.9,2013,NA,Catch
SNE/MA Winter Flounder,NA,788.6,670.4,118.3,NA,NA,NA,55.7,181.6,2013,NA,Catch
Redfish,NA,NA,NA,4.4,NA,NA,NA,19,3.9,2013,NA,Catch
White Hake,NA,NA,NA,5.8,NA,NA,NA,2.3,8.3,2013,NA,Catch
Pollock,NA,NA,NA,36.5,NA,NA,NA,981.7,NA,2013,NA,Catch
Northern Windowpane,280.1,237.5,237.3,0.2,NA,NA,NA,0.9,41.6,2013,NA,Catch
Southern Windowpane,554.7,115.9,86,30,NA,NA,129.1,37.3,272.4,2013,NA,Catch
Ocean Pout,59.3,33.2,27.3,5.9,NA,NA,NA,1.5,24.6,2013,NA,Catch
Halibut,79,54.7,53.8,0.9,NA,NA,NA,22.8,1.5,2013,NA,Catch
